Дата,Откуда,Куда,Авиакомпания,Время вылета,Время прилета,Минимальная цена
06.02.2025,РЩН,НУР,"Nordwind, Red Wings, S7 Airlines, Smartavia, Аэрофлот, Нордстар, Победа, Россия, Уральские авиалинии, ЮВТ Аэро, ЮТэйр, Ямал",21:50,15:00,23315
07.02.2025,РЩН,НУР,"Nordwind, Red Wings, S7 Airlines, Smartavia, Азимут, Аэрофлот, Ижавиа, Победа, Россия, Уральские авиалинии, ЮВТ Аэро, ЮТэйр, Ямал",09:10,11:20,9381
07.02.2025,НУР,РЩН,"Nordwind, Red Wings, S7 Airlines, Аэрофлот, Победа, Россия, Уральские авиалинии, ЮТэйр, Ямал",12:30,14:40,13481
06.02.2025,ДМД,НУР,"Red Wings, S7 Airlines, Уральские авиалинии, ЮТэйр, Ямал",23:45,15:25,24555
07.02.2025,ДМД,НУР,"Red Wings, S7 Airlines, Уральские авиалинии, ЮВТ Аэро, ЮТэйр, Ямал",01:45,07:20,12807
07.02.2025,НУР,ДМД,"Red Wings, S7 Airlines, Нордстар, Уральские авиалинии, ЮТэйр, Ямал",16:55,18:35,12564
06.02.2025,УФА,НУР,"Nordwind, S7 Airlines, Smartavia, Азимут, Алроса, Аэрофлот, Нордстар, Победа, Россия, РусЛайн, Уральские авиалинии, ЮВТ Аэро, ЮТэйр, Якутия, Ямал",22:40,11:20,16621
07.02.2025,УФА,НУР,"Nordwind, Red Wings, S7 Airlines, Азимут, Аэрофлот, Победа, Россия, ЮВТ Аэро, ЮТэйр, Ямал",12:35,15:20,9499
07.02.2025,НУР,УФА,"Nordwind, Red Wings, S7 Airlines, Smartavia, Азимут, Алроса, Аэрофлот, Нордстар, Победа, Россия, Уральские авиалинии, ЮТэйр, Ямал",16:15,19:20,9415
06.02.2025,МРВ,РЩН,"Nordwind, Азимут, Аэрофлот, Нордстар, Победа",19:50,17:45,16895
07.02.2025,МРВ,РЩН,"I Fly, Азимут, Победа, Уральские авиалинии, ЮТэйр",19:15,04:40,9428
06.02.2025,РЩН,МРВ,"S7 Airlines, Азимут, Аэрофлот, Нордстар, Победа, Россия, Уральские авиалинии, ЮТэйр, Ямал",11:55,01:40,10306
07.02.2025,РЩН,МРВ,"I Fly, Азимут, Победа, Уральские авиалинии, ЮТэйр",19:15,04:40,9428
06.02.2025,СОЧ,РЩН,"S7 Airlines, Азимут, Нордстар, Победа, Уральские авиалинии, ЮТэйр, Ямал",11:55,01:40,10306
07.02.2025,СОЧ,РЩН,"I Fly, Азимут, Победа, Уральские авиалинии, ЮТэйр",19:15,04:40,9428
06.02.2025,РЩН,СОЧ,"S7 Airlines, Азимут, Нордстар, Победа, Уральские авиалинии, ЮТэйр, Ямал",11:55,01:40,10306
07.02.2025,РЩН,СОЧ,"I Fly, Nordwind, Red Wings, S7 Airlines, Smartavia, Азимут, Алроса, Аэрофлот, Нордстар, Победа, Россия, РусЛайн, Уральские авиалинии, ЮТэйр, Якутия, Ямал",19:15,04:40,9428
